x,y,B2,B3,B4,Class_ID
678191.45365532,4764069.10237066,616,682,655,2
678193.971301184,4764069.10237066,616,682,655,2
678196.488947048,4764069.10237066,616,682,655,2
678191.45365532,4764066.61110184,616,682,655,2
678193.971301184,4764066.61110184,616,682,655,2
678196.488947048,4764066.61110184,616,682,655,2
678430.630012381,4764066.61110184,589,810,763,2
678433.147658244,4764066.61110184,589,810,763,2
679251.382563977,4764066.61110184,278,582,534,4
678191.45365532,4764064.11983303,616,682,655,2
678193.971301184,4764064.11983303,616,682,655,2
678196.488947048,4764064.11983303,616,682,655,2
678433.147658244,4764064.11983303,589,810,763,2
678435.665304108,4764064.11983303,589,810,763,2
679248.864918113,4764064.11983303,293,556,506,4
679251.382563977,4764064.11983303,278,582,534,4
679253.900209841,4764064.11983303,278,582,534,4
679256.417855705,4764064.11983303,278,582,534,4
679759.947028463,4764064.11983303,473,822,1024,1
679762.464674327,4764064.11983303,652,1004,1560,1
679764.982320191,4764064.11983303,652,1004,1560,1
678191.45365532,4764061.62856422,616,682,655,2
678193.971301184,4764061.62856422,616,682,655,2
678196.488947048,4764061.62856422,616,682,655,2
679243.829626386,4764061.62856422,293,556,506,4
679246.34727225,4764061.62856422,293,556,506,4
679248.864918113,4764061.62856422,293,556,506,4
679251.382563977,4764061.62856422,278,582,534,4
679253.900209841,4764061.62856422,278,582,534,4
679256.417855705,4764061.62856422,278,582,534,4
679258.935501568,4764061.62856422,278,582,534,4
679626.511797682,4764061.62856422,209,514,283,4
679629.029443546,4764061.62856422,209,514,283,4
679631.54708941,4764061.62856422,209,540,271,4
679634.064735274,4764061.62856422,209,540,271,4
679636.582381137,4764061.62856422,209,540,271,4
679639.100027001,4764061.62856422,209,540,271,4
679641.617672865,4764061.62856422,217,587,332,4
679644.135318729,4764061.62856422,217,587,332,4
679646.652964593,4764061.62856422,217,587,332,4
679649.170610456,4764061.62856422,217,587,332,4
679651.68825632,4764061.62856422,240,568,304,4
679654.205902184,4764061.62856422,240,568,304,4
679656.723548048,4764061.62856422,240,568,304,4
679659.241193912,4764061.62856422,240,568,304,4
679661.758839775,4764061.62856422,199,530,254,4
679664.276485639,4764061.62856422,199,530,254,4
679666.794131503,4764061.62856422,199,530,254,4
679669.311777367,4764061.62856422,199,530,254,4
679671.82942323,4764061.62856422,219,550,276,4
679674.347069094,4764061.62856422,219,550,276,4
679676.864714958,4764061.62856422,219,550,276,4
679679.382360822,4764061.62856422,219,550,276,4
679681.900006686,4764061.62856422,309,655,424,4
679684.417652549,4764061.62856422,309,655,424,4
679686.935298413,4764061.62856422,309,655,424,4
679689.452944277,4764061.62856422,309,655,424,4
679691.970590141,4764061.62856422,311,648,409,4
679694.488236005,4764061.62856422,311,648,409,4
679697.005881868,4764061.62856422,311,648,409,4
679699.523527732,4764061.62856422,311,648,409,4
679702.041173596,4764061.62856422,232,578,350,4
679704.55881946,4764061.62856422,232,578,350,4
679707.076465324,4764061.62856422,232,578,350,4
679709.594111187,4764061.62856422,232,578,350,4
679712.111757051,4764061.62856422,234,613,381,4
679714.629402915,4764061.62856422,234,613,381,4
679717.147048779,4764061.62856422,234,613,381,4
679719.664694643,4764061.62856422,234,613,381,4
679762.464674327,4764061.62856422,652,1004,1560,1
679764.982320191,4764061.62856422,652,1004,1560,1
679767.499966055,4764061.62856422,652,1004,1560,1
678191.45365532,4764059.13729541,412,699,766,2
678193.971301184,4764059.13729541,412,699,766,2
678196.488947048,4764059.13729541,412,699,766,2
679241.311980522,4764059.13729541,295,587,513,4
679243.829626386,4764059.13729541,295,587,513,4
679246.34727225,4764059.13729541,295,587,513,4
679248.864918113,4764059.13729541,295,587,513,4
679251.382563977,4764059.13729541,282,599,515,4
679253.900209841,4764059.13729541,282,599,515,4
679256.417855705,4764059.13729541,282,599,515,4
679258.935501568,4764059.13729541,282,599,515,4
679261.453147432,4764059.13729541,332,556,522,4
679626.511797682,4764059.13729541,190,505,264,4
679629.029443546,4764059.13729541,190,505,264,4
679631.54708941,4764059.13729541,190,504,227,4
679634.064735274,4764059.13729541,190,504,227,4
679636.582381137,4764059.13729541,190,504,227,4
679639.100027001,4764059.13729541,190,504,227,4
679641.617672865,4764059.13729541,217,525,276,4
679644.135318729,4764059.13729541,217,525,276,4
679646.652964593,4764059.13729541,217,525,276,4
679649.170610456,4764059.13729541,217,525,276,4
679651.68825632,4764059.13729541,244,538,283,4
679654.205902184,4764059.13729541,244,538,283,4
679656.723548048,4764059.13729541,244,538,283,4
679659.241193912,4764059.13729541,244,538,283,4
679661.758839775,4764059.13729541,224,540,234,4
679664.276485639,4764059.13729541,224,540,234,4
679666.794131503,4764059.13729541,224,540,234,4
679669.311777367,4764059.13729541,224,540,234,4
679671.82942323,4764059.13729541,226,545,258,4
679674.347069094,4764059.13729541,226,545,258,4
679676.864714958,4764059.13729541,226,545,258,4
679679.382360822,4764059.13729541,226,545,258,4
679681.900006686,4764059.13729541,334,681,411,4
679684.417652549,4764059.13729541,334,681,411,4
679686.935298413,4764059.13729541,334,681,411,4
679689.452944277,4764059.13729541,334,681,411,4
679691.970590141,4764059.13729541,371,723,540,4
679694.488236005,4764059.13729541,371,723,540,4
679697.005881868,4764059.13729541,371,723,540,4
679699.523527732,4764059.13729541,371,723,540,4
679702.041173596,4764059.13729541,328,652,497,4
679704.55881946,4764059.13729541,328,652,497,4
679707.076465324,4764059.13729541,328,652,497,4
679709.594111187,4764059.13729541,328,652,497,4
679712.111757051,4764059.13729541,382,692,537,4
679714.629402915,4764059.13729541,382,692,537,4
679717.147048779,4764059.13729541,382,692,537,4
679719.664694643,4764059.13729541,382,692,537,4
679762.464674327,4764059.13729541,679,984,1341,1
679764.982320191,4764059.13729541,679,984,1341,1
679767.499966055,4764059.13729541,679,984,1341,1
678191.45365532,4764056.6460266,412,699,766,2
679238.794334658,4764056.6460266,245,566,459,4
679241.311980522,4764056.6460266,295,587,513,4
679243.829626386,4764056.6460266,295,587,513,4
679246.34727225,4764056.6460266,295,587,513,4
679248.864918113,4764056.6460266,295,587,513,4
679251.382563977,4764056.6460266,282,599,515,4
679253.900209841,4764056.6460266,282,599,515,4
679256.417855705,4764056.6460266,282,599,515,4
679258.935501568,4764056.6460266,282,599,515,4
679261.453147432,4764056.6460266,332,556,522,4
679263.970793296,4764056.6460266,332,556,522,4
679626.511797682,4764056.6460266,190,505,264,4
679629.029443546,4764056.6460266,190,505,264,4
679631.54708941,4764056.6460266,190,504,227,4
679634.064735274,4764056.6460266,190,504,227,4
679636.582381137,4764056.6460266,190,504,227,4
679639.100027001,4764056.6460266,190,504,227,4
679641.617672865,4764056.6460266,217,525,276,4
679644.135318729,4764056.6460266,217,525,276,4
679646.652964593,4764056.6460266,217,525,276,4
679649.170610456,4764056.6460266,217,525,276,4
679651.68825632,4764056.6460266,244,538,283,4
679654.205902184,4764056.6460266,244,538,283,4
679656.723548048,4764056.6460266,244,538,283,4
679659.241193912,4764056.6460266,244,538,283,4
679661.758839775,4764056.6460266,224,540,234,4
679664.276485639,4764056.6460266,224,540,234,4
679666.794131503,4764056.6460266,224,540,234,4
679669.311777367,4764056.6460266,224,540,234,4
679671.82942323,4764056.6460266,226,545,258,4
679674.347069094,4764056.6460266,226,545,258,4
679676.864714958,4764056.6460266,226,545,258,4
679679.382360822,4764056.6460266,226,545,258,4
679681.900006686,4764056.6460266,334,681,411,4
679684.417652549,4764056.6460266,334,681,411,4
679686.935298413,4764056.6460266,334,681,411,4
679689.452944277,4764056.6460266,334,681,411,4
679691.970590141,4764056.6460266,371,723,540,4
679694.488236005,4764056.6460266,371,723,540,4
679697.005881868,4764056.6460266,371,723,540,4
679699.523527732,4764056.6460266,371,723,540,4
679702.041173596,4764056.6460266,328,652,497,4
679704.55881946,4764056.6460266,328,652,497,4
679707.076465324,4764056.6460266,328,652,497,4
679709.594111187,4764056.6460266,328,652,497,4
679712.111757051,4764056.6460266,382,692,537,4
679714.629402915,4764056.6460266,382,692,537,4
679717.147048779,4764056.6460266,382,692,537,4
679719.664694643,4764056.6460266,382,692,537,4
679762.464674327,4764056.6460266,679,984,1341,1
679764.982320191,4764056.6460266,679,984,1341,1
679767.499966055,4764056.6460266,679,984,1341,1
679233.759042931,4764054.15475778,245,566,459,4
679236.276688794,4764054.15475778,245,566,459,4
679238.794334658,4764054.15475778,245,566,459,4
679241.311980522,4764054.15475778,295,587,513,4
679243.829626386,4764054.15475778,295,587,513,4
679246.34727225,4764054.15475778,295,587,513,4
679248.864918113,4764054.15475778,295,587,513,4
679251.382563977,4764054.15475778,282,599,515,4
679253.900209841,4764054.15475778,282,599,515,4
679256.417855705,4764054.15475778,282,599,515,4
679258.935501568,4764054.15475778,282,599,515,4
679261.453147432,4764054.15475778,332,556,522,4
679263.970793296,4764054.15475778,332,556,522,4
679266.48843916,4764054.15475778,332,556,522,4
679626.511797682,4764054.15475778,190,505,264,4
679629.029443546,4764054.15475778,190,505,264,4
679631.54708941,4764054.15475778,190,504,227,4
679634.064735274,4764054.15475778,190,504,227,4
679636.582381137,4764054.15475778,190,504,227,4
679639.100027001,4764054.15475778,190,504,227,4
679641.617672865,4764054.15475778,217,525,276,4
679644.135318729,4764054.15475778,217,525,276,4
679646.652964593,4764054.15475778,217,525,276,4
679649.170610456,4764054.15475778,217,525,276,4
679651.68825632,4764054.15475778,244,538,283,4
679654.205902184,4764054.15475778,244,538,283,4
679656.723548048,4764054.15475778,244,538,283,4
679659.241193912,4764054.15475778,244,538,283,4
679661.758839775,4764054.15475778,224,540,234,4
679664.276485639,4764054.15475778,224,540,234,4
679666.794131503,4764054.15475778,224,540,234,4
679669.311777367,4764054.15475778,224,540,234,4
679671.82942323,4764054.15475778,226,545,258,4
679674.347069094,4764054.15475778,226,545,258,4
679676.864714958,4764054.15475778,226,545,258,4
679679.382360822,4764054.15475778,226,545,258,4
679681.900006686,4764054.15475778,334,681,411,4
679684.417652549,4764054.15475778,334,681,411,4
679686.935298413,4764054.15475778,334,681,411,4
679689.452944277,4764054.15475778,334,681,411,4
679691.970590141,4764054.15475778,371,723,540,4
679694.488236005,4764054.15475778,371,723,540,4
679697.005881868,4764054.15475778,371,723,540,4
679699.523527732,4764054.15475778,371,723,540,4
679702.041173596,4764054.15475778,328,652,497,4
679704.55881946,4764054.15475778,328,652,497,4
679707.076465324,4764054.15475778,328,652,497,4
679709.594111187,4764054.15475778,328,652,497,4
679712.111757051,4764054.15475778,382,692,537,4
679714.629402915,4764054.15475778,382,692,537,4
679717.147048779,4764054.15475778,382,692,537,4
679719.664694643,4764054.15475778,382,692,537,4
679762.464674327,4764054.15475778,679,984,1341,1
679764.982320191,4764054.15475778,679,984,1341,1
679767.499966055,4764054.15475778,679,984,1341,1
679770.017611918,4764054.15475778,695,1025,1690,1
678146.136029772,4764051.66348897,980,1101,1011,2
678148.653675636,4764051.66348897,980,1101,1011,2
678151.1713215,4764051.66348897,806,873,842,2
679231.241397067,4764051.66348897,245,566,459,4
679233.759042931,4764051.66348897,245,566,459,4
679236.276688794,4764051.66348897,245,566,459,4
679238.794334658,4764051.66348897,245,566,459,4
679241.311980522,4764051.66348897,295,587,513,4
679243.829626386,4764051.66348897,295,587,513,4
679246.34727225,4764051.66348897,295,587,513,4
679248.864918113,4764051.66348897,295,587,513,4
679251.382563977,4764051.66348897,282,599,515,4
679253.900209841,4764051.66348897,282,599,515,4
679256.417855705,4764051.66348897,282,599,515,4
679258.935501568,4764051.66348897,282,599,515,4
679261.453147432,4764051.66348897,332,556,522,4
679263.970793296,4764051.66348897,332,556,522,4
679266.48843916,4764051.66348897,332,556,522,4
679269.006085024,4764051.66348897,332,556,522,4
679626.511797682,4764051.66348897,190,505,264,4
679629.029443546,4764051.66348897,190,505,264,4
679631.54708941,4764051.66348897,190,504,227,4
679634.064735274,4764051.66348897,190,504,227,4
679636.582381137,4764051.66348897,190,504,227,4
679639.100027001,4764051.66348897,190,504,227,4
679641.617672865,4764051.66348897,217,525,276,4
679644.135318729,4764051.66348897,217,525,276,4
679646.652964593,4764051.66348897,217,525,276,4
679649.170610456,4764051.66348897,217,525,276,4
679651.68825632,4764051.66348897,244,538,283,4
679654.205902184,4764051.66348897,244,538,283,4
679656.723548048,4764051.66348897,244,538,283,4
679659.241193912,4764051.66348897,244,538,283,4
679661.758839775,4764051.66348897,224,540,234,4
679664.276485639,4764051.66348897,224,540,234,4
679666.794131503,4764051.66348897,224,540,234,4
679669.311777367,4764051.66348897,224,540,234,4
679671.82942323,4764051.66348897,226,545,258,4
679674.347069094,4764051.66348897,226,545,258,4
679676.864714958,4764051.66348897,226,545,258,4
679679.382360822,4764051.66348897,226,545,258,4
679681.900006686,4764051.66348897,334,681,411,4
679684.417652549,4764051.66348897,334,681,411,4
679686.935298413,4764051.66348897,334,681,411,4
679689.452944277,4764051.66348897,334,681,411,4
679691.970590141,4764051.66348897,371,723,540,4
679694.488236005,4764051.66348897,371,723,540,4
679697.005881868,4764051.66348897,371,723,540,4
679699.523527732,4764051.66348897,371,723,540,4
679702.041173596,4764051.66348897,328,652,497,4
679704.55881946,4764051.66348897,328,652,497,4
679707.076465324,4764051.66348897,328,652,497,4
679709.594111187,4764051.66348897,328,652,497,4
679712.111757051,4764051.66348897,382,692,537,4
679714.629402915,4764051.66348897,382,692,537,4
679717.147048779,4764051.66348897,382,692,537,4
679719.664694643,4764051.66348897,382,692,537,4
679764.982320191,4764051.66348897,679,984,1341,1
678143.618383908,4764049.17222016,1368,1539,1462,2
678146.136029772,4764049.17222016,1368,1539,1462,2
678148.653675636,4764049.17222016,1368,1539,1462,2
678151.1713215,4764049.17222016,1152,1176,1138,2
678266.983031234,4764049.17222016,278,472,317,2
679231.241397067,4764049.17222016,199,509,336,4
679233.759042931,4764049.17222016,199,509,336,4
679236.276688794,4764049.17222016,199,509,336,4
679238.794334658,4764049.17222016,199,509,336,4
679241.311980522,4764049.17222016,285,571,432,4
679243.829626386,4764049.17222016,285,571,432,4
679246.34727225,4764049.17222016,285,571,432,4
679248.864918113,4764049.17222016,285,571,432,4
679251.382563977,4764049.17222016,324,612,518,4
679253.900209841,4764049.17222016,324,612,518,4
679256.417855705,4764049.17222016,324,612,518,4
679258.935501568,4764049.17222016,324,612,518,4
679261.453147432,4764049.17222016,309,634,568,4
679263.970793296,4764049.17222016,309,634,568,4
679266.48843916,4764049.17222016,309,634,568,4
679269.006085024,4764049.17222016,309,634,568,4
679271.523730887,4764049.17222016,312,552,524,4
679626.511797682,4764049.17222016,171,486,249,4
679629.029443546,4764049.17222016,171,486,249,4
679631.54708941,4764049.17222016,165,498,205,4
679634.064735274,4764049.17222016,165,498,205,4
679636.582381137,4764049.17222016,165,498,205,4
679639.100027001,4764049.17222016,165,498,205,4
679641.617672865,4764049.17222016,172,512,234,4
679644.135318729,4764049.17222016,172,512,234,4
679646.652964593,4764049.17222016,172,512,234,4
679649.170610456,4764049.17222016,172,512,234,4
679651.68825632,4764049.17222016,174,519,256,4
679654.205902184,4764049.17222016,174,519,256,4
679656.723548048,4764049.17222016,174,519,256,4
679659.241193912,4764049.17222016,174,519,256,4
679661.758839775,4764049.17222016,211,538,234,4
679664.276485639,4764049.17222016,211,538,234,4
679666.794131503,4764049.17222016,211,538,234,4
679669.311777367,4764049.17222016,211,538,234,4
679671.82942323,4764049.17222016,215,530,217,4
679674.347069094,4764049.17222016,215,530,217,4
679676.864714958,4764049.17222016,215,530,217,4
679679.382360822,4764049.17222016,215,530,217,4
679681.900006686,4764049.17222016,304,619,353,4
679684.417652549,4764049.17222016,304,619,353,4
679686.935298413,4764049.17222016,304,619,353,4
679689.452944277,4764049.17222016,304,619,353,4
679691.970590141,4764049.17222016,338,720,569,4
679694.488236005,4764049.17222016,338,720,569,4
679697.005881868,4764049.17222016,338,720,569,4
679699.523527732,4764049.17222016,338,720,569,4
679702.041173596,4764049.17222016,354,685,551,4
679704.55881946,4764049.17222016,354,685,551,4
679707.076465324,4764049.17222016,354,685,551,4
679709.594111187,4764049.17222016,354,685,551,4
679712.111757051,4764049.17222016,431,742,596,4
679714.629402915,4764049.17222016,431,742,596,4
679717.147048779,4764049.17222016,431,742,596,4
679719.664694643,4764049.17222016,431,742,596,4
678078.15959145,4764046.68095135,1647,1484,1415,2
678080.677237313,4764046.68095135,1653,1580,1482,2
678083.194883177,4764046.68095135,1653,1580,1482,2
678085.712529041,4764046.68095135,1653,1580,1482,2
678088.230174905,4764046.68095135,1653,1580,1482,2
678090.747820769,4764046.68095135,1513,1524,1525,2
678093.265466632,4764046.68095135,1513,1524,1525,2
678095.783112496,4764046.68095135,1513,1524,1525,2
678098.30075836,4764046.68095135,1513,1524,1525,2
678100.818404224,4764046.68095135,1446,1619,1598,2
678143.618383908,4764046.68095135,1368,1539,1462,2
678146.136029772,4764046.68095135,1368,1539,1462,2
678148.653675636,4764046.68095135,1368,1539,1462,2
678151.1713215,4764046.68095135,1152,1176,1138,2
678259.430093643,4764046.68095135,475,573,487,2
678261.947739506,4764046.68095135,278,472,317,2
678264.46538537,4764046.68095135,278,472,317,2
678266.983031234,4764046.68095135,278,472,317,2
679233.759042931,4764046.68095135,199,509,336,4
679236.276688794,4764046.68095135,199,509,336,4
679238.794334658,4764046.68095135,199,509,336,4
679241.311980522,4764046.68095135,285,571,432,4
679243.829626386,4764046.68095135,285,571,432,4
679246.34727225,4764046.68095135,285,571,432,4
679248.864918113,4764046.68095135,285,571,432,4
679251.382563977,4764046.68095135,324,612,518,4
679253.900209841,4764046.68095135,324,612,518,4
679256.417855705,4764046.68095135,324,612,518,4
679258.935501568,4764046.68095135,324,612,518,4
679261.453147432,4764046.68095135,309,634,568,4
679263.970793296,4764046.68095135,309,634,568,4
679266.48843916,4764046.68095135,309,634,568,4
679269.006085024,4764046.68095135,309,634,568,4
679271.523730887,4764046.68095135,312,552,524,4
679274.041376751,4764046.68095135,312,552,524,4
679626.511797682,4764046.68095135,171,486,249,4
679629.029443546,4764046.68095135,171,486,249,4
679631.54708941,4764046.68095135,165,498,205,4
679634.064735274,4764046.68095135,165,498,205,4
679636.582381137,4764046.68095135,165,498,205,4
679639.100027001,4764046.68095135,165,498,205,4
679641.617672865,4764046.68095135,172,512,234,4
679644.135318729,4764046.68095135,172,512,234,4
679646.652964593,4764046.68095135,172,512,234,4
679649.170610456,4764046.68095135,172,512,234,4
679651.68825632,4764046.68095135,174,519,256,4
679654.205902184,4764046.68095135,174,519,256,4
679656.723548048,4764046.68095135,174,519,256,4
679659.241193912,4764046.68095135,174,519,256,4
679661.758839775,4764046.68095135,211,538,234,4
679664.276485639,4764046.68095135,211,538,234,4
679666.794131503,4764046.68095135,211,538,234,4
679669.311777367,4764046.68095135,211,538,234,4
679671.82942323,4764046.68095135,215,530,217,4
679674.347069094,4764046.68095135,215,530,217,4
679676.864714958,4764046.68095135,215,530,217,4
679679.382360822,4764046.68095135,215,530,217,4
679681.900006686,4764046.68095135,304,619,353,4
679684.417652549,4764046.68095135,304,619,353,4
679686.935298413,4764046.68095135,304,619,353,4
679689.452944277,4764046.68095135,304,619,353,4
679691.970590141,4764046.68095135,338,720,569,4
679694.488236005,4764046.68095135,338,720,569,4
679697.005881868,4764046.68095135,338,720,569,4
679699.523527732,4764046.68095135,338,720,569,4
679702.041173596,4764046.68095135,354,685,551,4
679704.55881946,4764046.68095135,354,685,551,4
679707.076465324,4764046.68095135,354,685,551,4
679709.594111187,4764046.68095135,354,685,551,4
679712.111757051,4764046.68095135,431,742,596,4
679714.629402915,4764046.68095135,431,742,596,4
679717.147048779,4764046.68095135,431,742,596,4
679719.664694643,4764046.68095135,431,742,596,4
678078.15959145,4764044.18968254,1647,1484,1415,2
678080.677237313,4764044.18968254,1653,1580,1482,2
678083.194883177,4764044.18968254,1653,1580,1482,2
678085.712529041,4764044.18968254,1653,1580,1482,2
678088.230174905,4764044.18968254,1653,1580,1482,2
678090.747820769,4764044.18968254,1513,1524,1525,2
678093.265466632,4764044.18968254,1513,1524,1525,2
678095.783112496,4764044.18968254,1513,1524,1525,2
678098.30075836,4764044.18968254,1513,1524,1525,2
678100.818404224,4764044.18968254,1446,1619,1598,2
678143.618383908,4764044.18968254,1368,1539,1462,2
678146.136029772,4764044.18968254,1368,1539,1462,2
678148.653675636,4764044.18968254,1368,1539,1462,2
678151.1713215,4764044.18968254,1152,1176,1138,2
679236.276688794,4764044.18968254,199,509,336,4
679238.794334658,4764044.18968254,199,509,336,4
679241.311980522,4764044.18968254,285,571,432,4
679243.829626386,4764044.18968254,285,571,432,4
679246.34727225,4764044.18968254,285,571,432,4
679248.864918113,4764044.18968254,285,571,432,4
679251.382563977,4764044.18968254,324,612,518,4
679253.900209841,4764044.18968254,324,612,518,4
679256.417855705,4764044.18968254,324,612,518,4
679258.935501568,4764044.18968254,324,612,518,4
679261.453147432,4764044.18968254,309,634,568,4
679263.970793296,4764044.18968254,309,634,568,4
679266.48843916,4764044.18968254,309,634,568,4
679269.006085024,4764044.18968254,309,634,568,4
679271.523730887,4764044.18968254,312,552,524,4
679274.041376751,4764044.18968254,312,552,524,4
679276.559022615,4764044.18968254,312,552,524,4
679279.076668479,4764044.18968254,312,552,524,4
